,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Cal Baptist,,,138,17.04336563,0.749976,1,0,13,,,,,,,,,,,,,
Cal Poly,,,222,0.006515344478,-2.5e-05,0,0,,,,,,,,,,,,16,,
Cal State Bakersfield,,,205,3.592115638,0.124974,0,0.5,,,,,,,,,,15,,,,
Cal State Fullerton,,,158,12.35022607,0.499973,0.5,0.5,,,,,15,,,15,,,,,,
California,,,125,23.83701356,1.187472,0,4.75,,,,,,,,,,4,,,12,12
Central Florida,,,84,42.68464703,3.062471,3,3.25,10,,,,,,9,,,,,,,
Charleston,,,87,41.24592204,2.87497,3.5,1,,,13,12,,,,13,,,,,,
Chattanooga,,,121,26.34079404,1.374969,1,2.5,,,,,13,,,,,12,,,,
Cincinnati,,,69,50.85257397,4.312468,0,17.25,,,,,,,7,2,6,9,8,5,10,6
Clemson,,,35,75.1834195,10.812467,11.75,8,8,5,6,,,7,,5,,,,,,
Cleveland State,,,206,3.591899154,0.124966,0,0.5,,,,,,15,,,,,,,,
Coastal Carolina,,,223,0.006210920177,-3.5e-05,0,0,,,,,,,,,,,16,16,,
Colgate,,,111,31.48849522,1.812464,2,1.25,,,14,15,14,14,15,,,,,,,
Colorado,,,71,50.12756771,4.187463,3,7.75,,,10,,,5,,,,8,,8,10,11
Colorado State,,,51,63.78932102,7.124962,9.5,0,,12,10,,6,,,,,,,,8,11
Connecticut,,,14,90.92993381,18.812461,22.75,7,2,8,1,4,5,7,,,,9,,7,,9
Creighton,,,26,83.57818903,14.56246,15.5,11.75,,9,3,6,9,5,,8,6,,,3,7,8
Davidson,,,88,41.24583561,2.874959,3,2.5,,,,,10,,,12,,,10,,14,13
Dayton,,,67,52.92930106,4.687458,3.75,7.5,,,7,,,,,,7,7,11,11,,
Delaware,,,166,9.700871607,0.374957,0.5,0,,,,,15,,,,,,,13,,
Detroit Mercy,,,224,0.005936935705,-4.4e-05,0,0,,,,,,,,,,,,,,15
Drake,,,54,62.83771566,6.874955,8.25,2.75,,11,10,12,,11,,,,,,,,
Drexel,,,210,1.851476961,0.062454,0,0.25,,,,,,16,,,,,,,,
Duke,,,1,100,25.687453,26,24.75,1,1,4,5,2,,1,2,2,4,1,3,2,2
Duquesne,,,102,34.08114896,2.062452,2.75,0,,,11,,,,,,,,,,,
East Tennessee State,,,181,6.799079556,0.249951,0,1,,,,,,,,,13,,,,,
Eastern Kentucky,,,225,0.00575427802,-5e-05,0,0,,,,,,,,,,,,15,,
Eastern Washington,,,193,5.237452957,0.187449,0,0.75,,,,,,14,,,,,13,,,
Fairleigh Dickinson,,,178,8.284391195,0.312448,0.25,0.5,,,,16,,,16,,,16,,,,
Florida,,,16,89.55458496,17.937447,18.75,15.5,1,1,7,,,7,10,6,4,,,1,3,7
Florida Atlantic,,,65,54.87337578,5.062446,6.75,0,,,8,9,,,,,,,,,,
Florida Gulf Coast,,,182,6.798933424,0.249945,0,1,,,,,,,,,14,16,,,15,
Florida State,,,68,51.56055568,4.437444,0,17.75,,,,,,4,4,9,3,,,,,3
Fresno State,,,194,5.237299135,0.187443,0,0.75,,,,,,,,,,14,,,,
Furman,,,127,22.95403461,1.124942,1.5,0,15,,,13,,,,,,,,,,
Gardner Webb,,,211,1.851104477,0.062441,0,0.25,,,,,,,16,,,,,,,
George Washington,,,226,0.005449846111,-6e-05,0,0,,,,,,,,,,,,9,,
Georgetown,,,150,14.78646187,0.624939,0,2.5,,,,,,12,,,,,4,,2,3
Georgia,,,66,54.8733356,5.062438,6.75,0,8,9,,,,,,,,,10,,,
Georgia State,,,159,12.34949539,0.499937,0.25,1.25,,,,,16,,14,15,,,14,,,
Georgia Tech,,,136,18.11105306,0.812436,0,3.25,,,,,,9,,,,,,,,
Gonzaga,,,6,96.92629714,23.124935,21.75,27.25,3,8,5,3,1,1,1,4,1,11,2,8,1,7
Grambling State,,,195,5.237068399,0.187434,0.25,0,,,16,,,,,,,,,,,
Grand Canyon,,,81,44.50266609,3.312433,4.25,0.5,,13,12,14,,15,,,,,,,,
Green Bay,,,196,5.237017124,0.187432,0,0.75,,,,,,,,,,14,,,,
Hampton,,,212,1.850817947,0.062431,0,0.25,,,,,,,,,,16,16,,,
Hartford,,,213,1.850789294,0.06243,0,0.25,,,,,,16,,,,,,,,
Harvard,,,227,0.005114967495,-7.1e-05,0,0,,,,,,,,,,,13,12,14,12
Hawaii,,,129,21.10803704,0.999928,1,1,13,,,,,,,,,13,,,,
High Point,,,96,39.21500231,2.624927,3.5,0,12,13,,,,,,,,,,,,
Hofstra,,,139,17.04249576,0.749926,1,0,13,,,,,,,,,,,,,
